OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,Total HH with broadband,tot percent with access,Households have a computer without internet access,tot percent without access,Total population in households,Population 18-64,pop 18-64 have a computer,percent 18-64 have computer,pop18-64 with broadband access,percent 18-64 with access,pop 18-64 without internet,percent 18-64 without access,pop over 65 with access,pop over 65 without access,percent over65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,percen black without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Perc AA without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,perc Asian without access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,perc Haw without access,Total white pop,White pop have computer,White pop with broadband access,White pop without access,perc white without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,perc Hispanic without access,Shape__Are,Shape__Len
23,00662849,27,Minnesota,2207988,2046817,1906917,93.16499716,130769,6.388895539,5469548,3321268,3248857,97.81977847,3094759,95.25685495,148423,4.568468234,641939,63556,9.900629188,344158,329437,303650,25334,7.690089456,51186,46236,40513,5624,12.16368198,270285,265287,252262,12600,4.749573104,2072,1800,1509,262,14.55555556,4325461,4137535,3938435,184781,4.465968264,301526,292458,268155,23515,8.040470768,4.58777E+11,4556808.431
24,01779790,28,Mississippi,1116649,965947,835084,86.45236229,127816,13.23219597,2887405,1725085,1609619,93.30664866,1423142,88.41483606,182770,11.354861,291664,50045,17.15844259,1079285,946696,802154,142577,15.06048404,13468,11267,10072,1195,10.60619508,29039,27841,26455,1386,4.978269459,1070,930,695,235,25.2688172,1637873,1526114,1375589,145132,9.509905551,89610,84060,73708,10340,12.30073757,1.75182E+11,3043117.552
25,01779791,29,Missouri,2440212,2213727,2009953,90.79498059,196228,8.864146302,5951584,3584421,3445407,96.12171673,3197728,92.81132824,242996,7.052751678,720191,83925,11.65315868,665504,606374,546308,59571,9.82413494,23078,21025,18434,2560,12.17598098,120109,117710,110344,7104,6.035171183,8551,7127,5597,1530,21.4676582,4702157,4428755,4109397,306785,6.927116086,255716,242496,219631,22655,9.342422143,2.94363E+11,3049353.552
26,00767982,30,Montana,436048,394771,359891,91.1644979,31822,8.060875799,1032820,613178,587962,95.88765416,549011,93.37525214,35951,6.114510802,143230,14721,10.27787475,5401,5040,4813,221,4.384920635,63166,53320,46824,5914,11.09152288,8393,8100,7427,667,8.234567901,516,503,438,65,12.92246521,885371,835614,779014,51288,6.137762172,39815,37662,35325,2215,5.881259625,8.20189E+11,4615631.94
27,01779792,31,Nebraska,766663,701638,651056,92.79086937,47285,6.739230201,1872618,1109268,1076766,97.06995965,1020919,94.81345065,53163,4.937284424,212641,21031,9.890378619,87101,80571,73453,6950,8.625932407,16066,14956,12870,2058,13.76036373,46610,45767,42791,2758,6.026176066,1142,1044,975,69,6.609195402,1468612,1397750,1327831,64683,4.627651583,210617,198256,182924,14588,7.358163183,3.57864E+11,2922193.565
28,01779793,32,Nevada,1130011,1058007,959333,90.67359668,96154,9.088219643,2992756,1834357,1780388,97.05787914,1642225,92.23972527,136419,7.662318551,378049,37596,9.944742613,274386,257368,226417,30365,11.79828106,36836,33920,29177,4689,13.82370283,251112,244274,230773,13377,5.476227515,21047,20322,18454,1833,9.019781518,1442632,1384389,1301404,80009,5.779372705,867619,832617,740482,91016,10.93131656,4.80297E+11,3054888.427
29,01779794,33,New Hampshire,539116,505000,475406,94.13980198,27664,5.478019802,1313821,820708,804020,97.96663369,770062,95.77647322,32591,4.053506132,192545,13069,6.78750422,18429,17887,17007,874,4.886230223,2067,2025,1824,197,9.728395062,35158,34681,33201,1454,4.192497333,396,325,246,70,21.53846154,1180540,1136032,1084787,47866,4.21343765,50165,49279,47026,2211,4.486698188,45992927408,1326311.33
30,01779795,34,New Jersey,3272054,3040126,2851052,93.7807183,181812,5.980410022,8702841,5356916,5238119,97.78236209,4994917,95.35707379,237889,4.541496671,1099587,87706,7.976267453,1137347,1071707,981742,88665,8.273250058,21832,20636,18694,1901,9.2120566,842862,832977,813996,18343,2.202101619,3071,2937,2828,109,3.711270003,4770647,4572302,4395142,167198,3.656757581,1789286,1709886,1559764,147979,8.654319645,34541079197,1127260.145
31,00897535,35,New Mexico,792755,698146,611142,87.53785025,83792,12.00207406,2054102,1214057,1131442,93.19513005,1007345,89.03196098,121000,10.69431752,247954,35839,14.45389064,40288,37903,33836,3984,10.51104134,191844,145756,102600,41944,28.77685996,32968,32203,29554,2558,7.943359314,1822,1711,1631,80,4.675628288,753424,716485,665882,46956,6.553661277,1011955,919500,807762,110086,11.97237629,4.64401E+11,2899904.952
32,01779796,36,New York,7417224,6754292,6249957,92.5331182,485653,7.190287302,18945673,11788689,11399636,96.69977722,10748577,94.28877378,635921,5.578432504,2321389,220460,9.496900347,2855296,2667827,2427200,236652,8.870590184,74112,68105,59944,8037,11.80089568,1637776,1585411,1510650,72552,4.576226606,8908,8291,7727,550,6.633699192,10478371,9833084,9341555,465419,4.733194591,3627585,3438777,3135247,298820,8.689717304,2.3719E+11,3863561.361
33,01027616,37,North Carolina,4031592,3657447,3332220,91.10781373,315365,8.622544633,10106940,6165531,5923693,96.07758034,5488646,92.65581454,426456,7.199157688,1205777,128518,10.65852143,2132860,1945440,1735836,206386,10.60870549,116926,103809,83329,20207,19.46555694,301923,296623,284806,11652,3.928218648,6761,6593,5420,1166,17.68542393,6348333,6010452,5632399,362794,6.036051864,969143,921632,823476,97011,10.5260017,1.94687E+11,4987549.915
34,01779797,38,North Dakota,320873,292964,263923,90.08717795,28322,9.667399407,734984,447572,433974,96.96182961,399525,92.06196685,34181,7.876278302,77070,9244,11.9942909,22790,21798,18221,3577,16.40976236,37817,33506,27740,5751,17.16409001,11622,11235,9950,1249,11.11704495,998,976,942,34,3.483606557,615760,584340,544403,38879,6.653489407,28863,27826,23640,4181,15.0255157,4.00343E+11,3125333.997
35,01085497,39,Ohio,4717226,4276409,3949300,92.35084857,312684,7.311835701,11361029,6857332,6596338,96.19394248,6223471,94.34736364,362333,5.49294169,1415953,137250,9.693118345,1376470,1265639,1141661,122246,9.658836366,19530,17407,15658,1710,9.82363417,261249,256049,245158,10635,4.153501869,3796,3549,3011,529,14.90560721,8921099,8390132,7939907,427102,5.090527777,448279,426505,389499,36431,8.541752148,1.83938E+11,2333282.933
36,01102857,40,Oklahoma,1493569,1352894,1208754,89.34580241,140558,10.38943184,3839604,2286084,2185895,95.61744013,1996463,91.33389298,186073,8.512439985,428001,60068,14.03454665,270686,245206,216444,28256,11.52337219,295993,270832,233348,36780,13.58037455,84897,82505,77487,4810,5.8299497,6281,4985,3939,1046,20.98294885,2497626,2349205,2158182,185205,7.883730879,420554,400603,358942,40948,10.22159095,2.7442E+11,3307542.386
37,01155107,41,Oregon,1642579,1545561,1437660,93.01865148,101654,6.577158715,4087588,2506548,2454953,97.94159138,2330758,94.94104368,119711,4.876305168,579737,50534,8.716711198,74949,71324,66768,4469,6.265773092,44089,40913,36642,4238,10.35856574,183948,180212,172993,7002,3.885423834,15964,15419,13581,1837,11.91387249,3067736,2957856,2802459,145157,4.90750733,539860,522460,484946,36625,7.010106037,4.85184E+11,3298513.582
38,01779798,42,Pennsylvania,5106601,4573026,4248840,92.91090844,303402,6.634600372,12374980,7490967,7202793,96.15304673,6839066,94.95019501,349263,4.848993994,1609867,154069,9.570293695,1332188,1231720,1110301,119394,9.693274445,19491,17409,15997,1375,7.898213568,435024,424575,407108,16901,3.980686569,4097,3585,3302,241,6.722454672,9407948,8748928,8320438,394129,4.504883341,938861,887085,813584,72536,8.176893984,2.05471E+11,2103733.427
39,01219835,44,Rhode Island,414730,375980,355195,94.47178041,19951,5.306399277,1016357,636531,616873,96.91169794,590272,95.68776717,26067,4.225667196,133298,9176,6.883824213,65807,61404,57821,3419,5.56804117,4076,3306,3003,303,9.165154265,34257,33784,32969,730,2.160786171,762,762,660,102,13.38582677,725198,685348,658497,25784,3.762176296,163815,155319,144480,10814,6.962445032,5104944078,773602.5749
40,01779799,45,South Carolina,1961481,1769828,1578651,89.19798986,186959,10.56368189,4956293,2969694,2835035,95.46555975,2576208,90.87041253,255430,9.009765312,649088,76660,11.81041708,1299743,1165391,986276,176932,15.18220065,16596,15241,13235,1992,13.07000853,81596,80152,76463,3687,4.600009981,3501,3202,2747,455,14.20986883,3157123,3001944,2800047,196094,6.532233779,287618,272661,238078,34393,12.61383183,1.1732E+11,1957829.69
41,01785534,46,South Dakota,347878,313834,287191,91.51048006,25455,8.110975866,845317,492426,470428,95.53272979,438575,93.22893195,31066,6.603773585,100209,11208,11.18462414,17651,16802,15047,1721,10.24282823,69988,52250,42285,9816,18.78660287,12003,11743,9903,1822,15.51562633,507,415,389,26,6.265060241,690166,654254,615753,36780,5.621669871,34798,32944,28608,4190,12.7185527,3.91982E+11,2963050.439
42,01325873,47,Tennessee,2639455,2352354,2129319,90.51864643,217626,9.25141369,6614088,4032667,3829488,94.96167177,3535403,92.32051387,290033,7.573675645,760268,90105,11.85174175,1087265,964451,855476,108195,11.21829932,16469,14977,12851,2126,14.19509915,120103,117933,113165,4698,3.983617817,3759,3186,2787,399,12.52354049,4866133,4547706,4220193,317842,6.989062178,370178,349133,311588,37312,10.68704477,1.66421E+11,2629507.252
43,01779801,48,Texas,9906070,9187393,8358356,90.97636294,812146,8.839787304,28039855,17169995,16528282,96.26259064,15263463,92.34754707,1247849,7.549780431,2666597,312010,11.70068068,3326782,3105830,2810686,291606,9.388987807,134058,126668,114020,12506,9.873053968,1399950,1383387,1333517,48095,3.476612112,24715,23573,21247,2304,9.773893862,11601415,11212644,10614566,577370,5.149276121,11117363,10386547,9199630,1176430,11.32647838,9.50492E+11,8774044.944
44,01455989,49,Utah,1003345,964342,892660,92.56674499,68973,7.152338071,3103352,1834406,1809220,98.6270215,1697826,93.84298206,109297,6.041111639,286326,24304,8.488226707,36146,34953,31967,2901,8.299716763,32183,27100,22595,4472,16.50184502,71604,70424,66438,3899,5.536464842,28897,28266,26601,1629,5.76310762,2420519,2377768,2250879,122254,5.141544507,439323,427725,390797,36742,8.590098778,3.68286E+11,2557182.526
45,01779802,50,Vermont,262852,239892,216046,90.05969353,21974,9.159955313,598864,366650,354511,96.68921315,326136,91.99601705,27075,7.637280649,88050,8892,10.0988075,6932,6511,5595,906,13.91491322,1782,1603,1423,175,10.91703057,9234,8930,8276,650,7.278835386,205,153,132,21,13.7254902,555296,525065,481709,40272,7.669907535,11012,10579,9668,908,8.583041875,48270229137,1281020.421
46,01779803,51,Virginia,3184121,2939714,2719503,92.50910123,211803,7.204884557,8264926,5116257,4964898,97.04160678,4671257,94.08565896,287587,5.792405,980384,88074,8.983622744,1545524,1437779,1294390,141301,9.827727349,21330,20033,18153,1857,9.269704987,561519,555420,541701,12784,2.30168161,5656,5433,5148,285,5.245720596,5076416,4837074,4578389,247288,5.112346844,791321,766280,702693,62473,8.152764003,1.66968E+11,4131814.741
47,01779804,53,Washington,2905822,2755772,2603312,94.46761198,144704,5.250942386,7365480,4583434,4503125,98.24784212,4321786,95.97304094,176198,3.912793893,934626,66889,7.15676645,277786,269319,254436,14610,5.424793646,88173,82660,74144,8373,10.12944592,651347,639905,622505,16598,2.593822521,49878,48392,45690,2702,5.583567532,4976602,4822074,4623307,187290,3.884013393,953593,921825,863847,57366,6.223090066,3.82619E+11,6314134.362
48,01779805,54,West Virginia,734235,632566,569886,90.09115254,60203,9.517267763,1760220,1046129,985829,94.23589251,907744,92.07925512,75772,7.686120007,233835,28993,12.39891376,56151,51436,45632,5735,11.14977837,2969,2474,2373,101,4.082457559,13976,13387,12795,592,4.422200642,468,432,432,0,0,1618999,1473365,1351586,116863,7.93170735,26670,25607,23817,1761,6.877025813,1.03046E+11,2614069.164
49,01779806,55,Wisconsin,2377935,2157295,1998288,92.62933442,147315,6.828690559,5662467,3439648,3321859,96.57555075,3145743,94.69826985,167993,5.057198394,691838,65888,9.5236168,347204,310860,277791,32861,10.57099659,46626,42416,38375,3827,9.022538665,159528,156000,148430,7489,4.800641026,2594,2012,1877,111,5.516898608,4575424,4310478,4087773,202655,4.701450744,399600,381678,349460,31998,8.383506516,2.87304E+11,3720657.676
50,01779807,56,Wyoming,233231,217146,198588,91.45367633,17817,8.205078611,567055,339953,330518,97.22461634,308779,93.42274853,21198,6.413569004,71336,7902,11.07715599,4584,4483,4346,137,3.055989293,12448,10942,9046,1887,17.24547615,4675,4567,4004,541,11.84585067,584,579,579,0,0,474798,455595,426781,27483,6.032331347,57176,53593,48991,4583,8.551489933,4.74198E+11,2777133.834
51,01779808,72,Puerto Rico,1205749,875327,740364,84.58141929,121914,13.92782354,3219830,1954713,1643820,84.09520989,1435188,87.30809943,181701,11.05358251,295080,69204,23.45262302,364148,288316,257410,29916,10.3761151,5674,4353,3680,673,15.46060188,5808,5093,4907,118,2.316905557,234,186,186,0,0,31217,27277,21658,4012,14.70836236,3177544,2520731,2176437,306150,12.14528643,10062700130,777497.6368
