OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,HH with dial up access,Total HH with broadband,Households have a computer without internet access,HH have not computer,Percent of HH have not computer,Total population in households,Population 18-64,pop 18-64 have a computer,pop18-64 with dialup access,pop18-64 with broadband access,pop 18-64 without internet,pop18-64 that have no computer,B28005__24,B28005_016,B28005__25,pop over 65 with access,pop over 65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,Total other race pop,Total white pop,White pop have computer,White pop with broadband access,White pop without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,Shape__Are,Shape__Len
37,01155107,41,Oregon,1642579,1545561,6247,1437660,101654,97018,5.9,4087588,2506548,2454953,4484,2330758,119711,51595,2685,5959,628,579737,50534,74949,71324,66768,4469,44089,40913,36642,4238,183948,180212,172993,7002,15964,15419,13581,1837,137710,3067736,2957856,2802459,145157,539860,522460,484946,36625,4.85184E+11,3298513.582
38,01779798,42,Pennsylvania,5106601,4573026,20784,4248840,303402,533575,10.4,12374980,7490967,7202793,14464,6839066,349263,288174,5061,21311,1073,1609867,154069,1332188,1231720,1110301,119394,19491,17409,15997,1375,435024,424575,407108,16901,4097,3585,3302,241,303177,9407948,8748928,8320438,394129,938861,887085,813584,72536,2.05471E+11,2103733.427
39,01219835,44,Rhode Island,414730,375980,834,355195,19951,38750,9.3,1016357,636531,616873,534,590272,26067,19658,1365,823,226,133298,9176,65807,61404,57821,3419,4076,3306,3003,303,34257,33784,32969,730,762,762,660,102,57392,725198,685348,658497,25784,163815,155319,144480,10814,5104944078,773602.5749
40,01779799,45,South Carolina,1961481,1769828,4218,1578651,186959,191653,9.8,4956293,2969694,2835035,3397,2576208,255430,134659,3691,4381,509,649088,76660,1299743,1165391,986276,176932,16596,15241,13235,1992,81596,80152,76463,3687,3501,3202,2747,455,101106,3157123,3001944,2800047,196094,287618,272661,238078,34393,1.1732E+11,1957829.69
41,01785534,46,South Dakota,347878,313834,1188,287191,25455,34044,9.8,845317,492426,470428,787,438575,31066,21998,973,1073,186,100209,11208,17651,16802,15047,1721,69988,52250,42285,9816,12003,11743,9903,1822,507,415,389,26,6997,690166,654254,615753,36780,34798,32944,28608,4190,3.91982E+11,2963050.439
42,01325873,47,Tennessee,2639455,2352354,5409,2129319,217626,287101,10.9,6614088,4032667,3829488,4052,3535403,290033,203179,3454,5960,635,760268,90105,1087265,964451,855476,108195,16469,14977,12851,2126,120103,117933,113165,4698,3759,3186,2787,399,101870,4866133,4547706,4220193,317842,370178,349133,311588,37312,1.66421E+11,2629507.252
43,01779801,48,Texas,9906070,9187393,16891,8358356,812146,718677,7.3,28039855,17169995,16528282,16970,15263463,1247849,641713,6650,14747,1290,2666597,312010,3326782,3105830,2810686,291606,134058,126668,114020,12506,1399950,1383387,1333517,48095,24715,23573,21247,2304,1761045,11601415,11212644,10614566,577370,11117363,10386547,9199630,1176430,9.50492E+11,8774044.944
44,01455989,49,Utah,1003345,964342,2709,892660,68973,39003,3.9,3103352,1834406,1809220,2097,1697826,109297,25186,1368,2527,381,286326,24304,36146,34953,31967,2901,32183,27100,22595,4472,71604,70424,66438,3899,28897,28266,26601,1629,158489,2420519,2377768,2250879,122254,439323,427725,390797,36742,3.68286E+11,2557182.526
45,01779802,50,Vermont,262852,239892,1872,216046,21974,22960,8.7,598864,366650,354511,1300,326136,27075,12139,846,1710,316,88050,8892,6932,6511,5595,906,1782,1603,1423,175,9234,8930,8276,650,205,153,132,21,2362,555296,525065,481709,40272,11012,10579,9668,908,48270229137,1281020.421
46,01779803,51,Virginia,3184121,2939714,8408,2719503,211803,244407,7.7,8264926,5116257,4964898,6054,4671257,287587,151359,3732,8373,673,980384,88074,1545524,1437779,1294390,141301,21330,20033,18153,1857,561519,555420,541701,12784,5656,5433,5148,285,236552,5076416,4837074,4578389,247288,791321,766280,702693,62473,1.66968E+11,4131814.741
47,01779804,53,Washington,2905822,2755772,7756,2603312,144704,150050,5.2,7365480,4583434,4503125,5141,4321786,176198,80309,2958,7639,613,934626,66889,277786,269319,254436,14610,88173,82660,74144,8373,651347,639905,622505,16598,49878,48392,45690,2702,353818,4976602,4822074,4623307,187290,953593,921825,863847,57366,3.82619E+11,6314134.362
48,01779805,54,West Virginia,734235,632566,2477,569886,60203,101669,13.8,1760220,1046129,985829,2313,907744,75772,60300,2355,2367,337,233835,28993,56151,51436,45632,5735,2969,2474,2373,101,13976,13387,12795,592,468,432,432,0,8822,1618999,1473365,1351586,116863,26670,25607,23817,1761,1.03046E+11,2614069.164
49,01779806,55,Wisconsin,2377935,2157295,11692,1998288,147315,220640,9.3,5662467,3439648,3321859,8123,3145743,167993,117789,3166,12079,621,691838,65888,347204,310860,277791,32861,46626,42416,38375,3827,159528,156000,148430,7489,2594,2012,1877,111,132821,4575424,4310478,4087773,202655,399600,381678,349460,31998,2.87304E+11,3720657.676
50,01779807,56,Wyoming,233231,217146,741,198588,17817,16085,6.9,567055,339953,330518,541,308779,21198,9435,1007,814,223,71336,7902,4584,4483,4346,137,12448,10942,9046,1887,4675,4567,4004,541,584,579,579,0,9390,474798,455595,426781,27483,57176,53593,48991,4583,4.74198E+11,2777133.834
51,01779808,72,Puerto Rico,1205749,875327,13049,740364,121914,330422,27.4,3219830,1954713,1643820,26931,1435188,181701,310893,3063,5131,562,295080,69204,364148,288316,257410,29916,5674,4353,3680,673,5808,5093,4907,118,234,186,186,0,603503,31217,27277,21658,4012,3177544,2520731,2176437,306150,10062700130,777497.6368
